customerID,churn_probability,actual_churn,risk_decile
7216-EWTRS,0.9342,Yes,10
5419-JPRRN,0.9327,Yes,10
0107-YHINA,0.9224,Yes,10
5178-LMXOP,0.9217,Yes,10
9497-QCMMS,0.9217,Yes,10
9300-AGZNL,0.9217,Yes,10
0295-PPHDO,0.915,Yes,10
3068-OMWZA,0.9102,Yes,10
4826-XTSOH,0.9054,Yes,10
1069-XAIEM,0.9021,Yes,10
8149-RSOUN,0.9018,Yes,10
4910-GMJOT,0.9018,Yes,10
8603-IJWDN,0.8989,Yes,10
5192-EBGOV,0.8955,Yes,10
6861-XWTWQ,0.8951,Yes,10
6521-YYTYI,0.892,Yes,10
9282-IZGQK,0.8908,Yes,10
9248-OJYKK,0.8907,Yes,10
6023-YEBUP,0.889,Yes,10
3988-RQIXO,0.883,Yes,10
3178-FESZO,0.8822,Yes,10
4424-TKOPW,0.8814,Yes,10
2720-WGKHP,0.8814,Yes,10
1415-YFWLT,0.8808,Yes,10
6567-HOOPW,0.8805,Yes,10
8775-LHDJH,0.8798,Yes,10
7493-TPUWZ,0.8798,Yes,10
1455-UGQVH,0.8797,Yes,10
4912-PIGUY,0.879,No,10
3158-MOERK,0.8783,Yes,10
9681-OXGVC,0.8776,Yes,10
8884-ADFVN,0.8774,Yes,10
4822-RVYBB,0.877,Yes,10
9305-CDSKC,0.8768,Yes,10
5597-GLBUC,0.8761,Yes,10
8473-VUVJN,0.8755,Yes,10
5240-IJOQT,0.8755,Yes,10
6513-EECDB,0.8755,Yes,10
3551-HUAZH,0.8755,Yes,10
6894-LFHLY,0.8755,Yes,10
4988-IQIGL,0.8755,Yes,10
4102-OQUPX,0.8755,Yes,10
6230-BSUXY,0.8754,Yes,10
4844-JJWUY,0.8726,Yes,10
2968-SSGAA,0.8725,Yes,10
8580-AECUZ,0.8725,Yes,10
0781-LKXBR,0.872,Yes,10
8058-INTPH,0.872,Yes,10
5494-HECPR,0.872,Yes,10
3776-EKTKM,0.8716,Yes,10
8779-QRDMV,0.8704,Yes,10
7024-OHCCK,0.8694,Yes,10
2446-BEGGB,0.8692,Yes,10
3811-VBYBZ,0.8686,Yes,10
5567-WSELE,0.8684,Yes,10
2202-CUYXZ,0.8679,Yes,10
2012-NWRPA,0.8668,Yes,10
2609-IAICY,0.866,Yes,10
7594-RQHXR,0.865,Yes,10
9057-SIHCH,0.865,Yes,10
0495-RVCBF,0.8646,Yes,10
5919-TMRGD,0.8645,Yes,10
1761-AEZZR,0.8635,Yes,10
0318-QUUOB,0.8635,Yes,10
8740-CRYFY,0.8635,Yes,10
2514-GINMM,0.8635,Yes,10
5960-WPXQM,0.8635,Yes,10
9300-RENDD,0.8635,Yes,10
7439-DKZTW,0.8635,No,10
5299-SJCZT,0.8634,Yes,10
1833-VGRUM,0.863,Yes,10
0021-IKXGC,0.863,No,10
0723-DRCLG,0.863,Yes,10
4273-MBHYA,0.862,No,10
9787-XVQIU,0.8616,Yes,10
6496-SLWHQ,0.8616,Yes,10
1452-VOQCH,0.8616,No,10
9124-LHCJQ,0.8616,Yes,10
1400-MMYXY,0.8616,Yes,10
1157-BQCUW,0.8616,Yes,10
6358-LYNGM,0.8616,Yes,10
5834-ASPWA,0.8616,Yes,10
0897-FEGMU,0.8614,Yes,10
8098-LLAZX,0.8612,Yes,10
7577-SWIFR,0.8596,No,10
0970-ETWGE,0.8596,Yes,10
2725-KXXWT,0.8596,Yes,10
3027-ZTDHO,0.8596,Yes,10
3722-WPXTK,0.8596,Yes,10
7274-RTAPZ,0.8596,Yes,10
1455-ESIQH,0.8596,Yes,10
7851-WZEKY,0.8585,Yes,10
7503-ZGUZJ,0.8569,Yes,10
6702-OHFWR,0.8569,Yes,10
5150-ITWWB,0.8568,No,10
1374-DMZUI,0.8553,Yes,10
2656-TABEH,0.8548,Yes,10
2868-MZAGQ,0.8543,Yes,10
0742-NXBGR,0.8536,Yes,10
4927-WWOOZ,0.853,No,10
1628-BIZYP,0.8522,No,10
1941-HOSAM,0.8516,No,10
9725-SCPZG,0.8516,Yes,10
5167-ZFFMM,0.8505,Yes,10
4695-WJZUE,0.8501,Yes,10
3097-NQYSN,0.8495,Yes,10
0023-HGHWL,0.8494,Yes,10
6474-FVJLC,0.8493,Yes,10
4614-NUVZD,0.8491,Yes,10
2004-OCQXK,0.8491,Yes,10
7450-NWRTR,0.8489,Yes,10
0655-RBDUG,0.8483,Yes,10
8816-VXNZD,0.8479,Yes,10
4415-IJZTP,0.8479,Yes,10
3643-AHCFP,0.8477,Yes,10
7409-KIUTL,0.8474,Yes,10
0679-IDSTG,0.8474,Yes,10
1846-XWOQN,0.847,Yes,10
3878-AVSOQ,0.847,No,10
9605-WGJVW,0.847,No,10
9488-HGMJH,0.847,Yes,10
8051-HJRLT,0.847,Yes,10
4871-JTKJF,0.847,Yes,10
8000-REIQB,0.847,Yes,10
2636-ALXXZ,0.847,Yes,10
5550-VFRLC,0.847,Yes,10
7206-GZCDC,0.847,Yes,10
8375-DKEBR,0.847,Yes,10
2506-TNFCO,0.847,Yes,10
4078-SAYYN,0.847,Yes,10
1977-STDKI,0.8437,Yes,10
3049-SOLAY,0.8434,Yes,10
7180-PISOG,0.8431,Yes,10
8372-JUXUI,0.8431,Yes,10
4626-GYCZP,0.843,Yes,10
8161-QYMTT,0.843,No,10
0259-GBZSH,0.843,Yes,10
6996-KNSML,0.843,Yes,10
5277-ZLOOR,0.8427,Yes,10
4550-EVXNY,0.8426,Yes,10
5134-IKDAY,0.8426,Yes,10
9728-FTTVZ,0.8421,Yes,10
4806-HIPDW,0.8421,Yes,10
7665-TOALD,0.8421,Yes,10
7660-HDPJV,0.8421,Yes,10
0488-GSLFR,0.8421,Yes,10
7120-RFMVS,0.8407,Yes,10
8775-ERLNB,0.8396,No,10
9546-CQJSU,0.8386,Yes,10
2018-QKYGT,0.8384,No,10
6457-USBER,0.8379,Yes,10
2265-CYWIV,0.8379,Yes,10
9885-CSMWE,0.8379,Yes,10
1875-QIVME,0.8376,Yes,10
0235-KGSLC,0.8374,Yes,10
8062-YBDOE,0.8372,Yes,10
1363-TXLSL,0.8372,Yes,10
9603-OAIHC,0.8372,No,10
5539-TMZLF,0.8372,Yes,10
