customer_id,churn_probability,actual_churn,risk_decile
7216-EWTRS,0.9409,Yes,10
5419-JPRRN,0.935,Yes,10
8149-RSOUN,0.9344,Yes,10
9300-AGZNL,0.9333,Yes,10
0107-YHINA,0.9321,Yes,10
5178-LMXOP,0.9299,Yes,10
4910-GMJOT,0.9297,Yes,10
0295-PPHDO,0.9246,Yes,10
1400-MMYXY,0.9218,Yes,10
9497-QCMMS,0.9178,Yes,10
6023-YEBUP,0.9092,Yes,10
1069-XAIEM,0.9082,Yes,10
6521-YYTYI,0.9047,Yes,10
5192-EBGOV,0.9009,Yes,10
3068-OMWZA,0.9009,Yes,10
4826-XTSOH,0.9009,Yes,10
7181-BQYBV,0.8989,Yes,10
3178-FESZO,0.8972,Yes,10
9282-IZGQK,0.8941,Yes,10
9248-OJYKK,0.8927,Yes,10
3988-RQIXO,0.8919,Yes,10
4912-PIGUY,0.8908,No,10
8603-IJWDN,0.8887,Yes,10
6894-LFHLY,0.888,Yes,10
0021-IKXGC,0.8825,No,10
8473-VUVJN,0.8825,Yes,10
5240-IJOQT,0.8825,Yes,10
4988-IQIGL,0.8825,Yes,10
6513-EECDB,0.8825,Yes,10
0723-DRCLG,0.8825,Yes,10
3551-HUAZH,0.8825,Yes,10
4102-OQUPX,0.8825,Yes,10
1833-VGRUM,0.8825,Yes,10
6567-HOOPW,0.8787,Yes,10
2865-TCHJW,0.8768,Yes,10
2609-IAICY,0.8765,Yes,10
1374-DMZUI,0.875,Yes,10
1415-YFWLT,0.8746,Yes,10
6230-BSUXY,0.8724,Yes,10
8775-LHDJH,0.8722,Yes,10
5919-TMRGD,0.872,Yes,10
5494-HECPR,0.872,Yes,10
8058-INTPH,0.872,Yes,10
2656-TABEH,0.8719,Yes,10
8098-LLAZX,0.8691,Yes,10
7206-GZCDC,0.8687,Yes,10
0679-IDSTG,0.8687,Yes,10
4871-JTKJF,0.8687,Yes,10
5550-VFRLC,0.8687,Yes,10
8375-DKEBR,0.8687,Yes,10
2636-ALXXZ,0.8687,Yes,10
2506-TNFCO,0.8687,Yes,10
5052-PNLOS,0.8681,Yes,10
4273-MBHYA,0.8676,No,10
8816-VXNZD,0.865,Yes,10
4415-IJZTP,0.865,Yes,10
1157-BQCUW,0.865,Yes,10
5834-ASPWA,0.865,Yes,10
1452-VOQCH,0.865,No,10
9787-XVQIU,0.865,Yes,10
6358-LYNGM,0.865,Yes,10
8580-AECUZ,0.8635,Yes,10
0495-RVCBF,0.8631,Yes,10
7594-RQHXR,0.8631,Yes,10
6356-ELRKD,0.862,Yes,10
5597-GLBUC,0.8618,Yes,10
6496-SLWHQ,0.8618,Yes,10
5150-ITWWB,0.8608,No,10
7120-RFMVS,0.8605,Yes,10
7024-OHCCK,0.8594,Yes,10
3878-AVSOQ,0.8573,No,10
1846-XWOQN,0.8573,Yes,10
9605-WGJVW,0.8573,No,10
9488-HGMJH,0.8573,Yes,10
8051-HJRLT,0.8573,Yes,10
7409-KIUTL,0.8573,Yes,10
8000-REIQB,0.8573,Yes,10
4424-TKOPW,0.8567,Yes,10
5960-WPXQM,0.856,Yes,10
2514-GINMM,0.856,Yes,10
9300-RENDD,0.856,Yes,10
1761-AEZZR,0.856,Yes,10
8740-CRYFY,0.856,Yes,10
5567-WSELE,0.8555,Yes,10
2720-WGKHP,0.8555,Yes,10
9223-UCPVT,0.8551,Yes,10
8372-JUXUI,0.855,Yes,10
7180-PISOG,0.855,Yes,10
2004-OCQXK,0.8545,Yes,10
4614-NUVZD,0.8545,Yes,10
2982-IHMFT,0.854,Yes,10
8062-YBDOE,0.8524,Yes,10
5539-TMZLF,0.8524,Yes,10
9124-LHCJQ,0.8521,Yes,10
4806-HIPDW,0.8517,Yes,10
9728-FTTVZ,0.8517,Yes,10
7660-HDPJV,0.8517,Yes,10
7665-TOALD,0.8517,Yes,10
0488-GSLFR,0.8517,Yes,10
4550-EVXNY,0.8517,Yes,10
5134-IKDAY,0.8517,Yes,10
6108-OQZDQ,0.8507,Yes,10
5299-SJCZT,0.8505,Yes,10
0702-PGIBZ,0.8503,Yes,10
6857-VWJDT,0.8491,Yes,10
9681-OXGVC,0.8482,Yes,10
7493-TPUWZ,0.848,Yes,10
7503-ZGUZJ,0.8477,Yes,10
3746-EUBYR,0.8473,Yes,10
0318-QUUOB,0.847,Yes,10
7439-DKZTW,0.847,No,10
3389-YGYAI,0.8467,Yes,10
9725-SCPZG,0.8463,Yes,10
1941-HOSAM,0.8463,No,10
7274-RTAPZ,0.8463,Yes,10
0970-ETWGE,0.8463,Yes,10
3722-WPXTK,0.8463,Yes,10
1455-ESIQH,0.8463,Yes,10
2725-KXXWT,0.8463,Yes,10
7577-SWIFR,0.8463,No,10
3027-ZTDHO,0.8463,Yes,10
2202-CUYXZ,0.8448,Yes,10
9057-SIHCH,0.8442,Yes,10
3049-SOLAY,0.8442,Yes,10
7851-WZEKY,0.8442,Yes,10
3158-MOERK,0.8442,Yes,10
4750-ZRXIU,0.8429,Yes,10
4844-JJWUY,0.8417,Yes,10
2868-MZAGQ,0.8412,Yes,10
9885-CSMWE,0.8407,Yes,10
1363-TXLSL,0.8399,Yes,10
8644-XLFBW,0.8399,Yes,10
9603-OAIHC,0.8399,No,10
1273-MTETI,0.8397,Yes,10
0328-GRPMV,0.8391,Yes,10
1640-PLFMP,0.8391,No,10
